Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
V42,0.28820856228085,0,0,0,0.26142491553716,0,0,0,0,0,0,0,0,0,0.19899988817554,0,0,0,0,0,0.25132070989806,0,0,0.9999999983153057,0.4405862760682228
V43,0,0.23511721917156,0,0,0,0,0,0,0.072735721135287,0,0,0,0.075102413602464,0,0,0.13500180190099,0,0,0.11091663441713,0.18454407336897,0.18644539094949,0,0,0.9999999893514341,0.5214300507515797
V44,0,0,0,0,0.0001,0.45610572308557,0,0.13179276544034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41195066771064,0,0.9999999958978582,0.3440290979546847
V45,0,0,0,0.0001,0,0,0,0.0001,0,0,0.4100579295447,0.58957204100888,0,0,0,0,0,0,0.0001,0,0.0001,0,0,0.999999989291759,0.22376272007175663
V46,0.076549429224366,0.1298037279285,0,0,0,0.20151935814762,0.11723880414577,0.12799373337998,0,0,0,0,0,0,0,0,0.10738680114363,0,0.17901203741519,0,0,0.060376076926951,0,0.9999999939785116,0.5806660525351278
V47,0.23167342502201,0,0,0,0,0,0.22233907586439,0,0,0.21562241494388,0,0,0,0,0.1033949611393,0,0,0.051512453050082,0.17530418786783,0,0,0,0,0.9999999949088326,0.5341160404059851
V48,0,0.096846706031797,0,0,0,0,0,0,0,0,0,0,0,0,0.14939977278158,0,0.1487484469952,0,0,0,0.29800358027143,0.30686221468272,0,0.9999999936981192,0.39382679194316406
V49,0,0,0,0,0,0,0,0,0,0,0.38057412632467,0.19317744066246,0.15213587393456,0.2740283433865,0,0,0,0,0,0,0,0,0,0.9999999974289082,0.2806902247656929
V50,0,0,0,0,0,0,0,0.3669792277934,0,0.14035812857738,0,0,0,0.092634556658693,0.08282322748595,0.31716557316411,0,0,0,0,0,0,0,0.9999999983023762,0.5129594366305039
V51,0,0,0.040916896540465,0,0,0,0.14616052132111,0,0,0,0.17615895755073,0,0.12243494665085,0.10112267004731,0,0.10263260783672,0,0.12764524952618,0.1828389121132,0,0,0,0,0.9999999935783292,0.6080742844032823
V52,0,0.41222217998056,0,0,0.0001,0,0,0,0,0,0,0.30786011797716,0,0,0,0,0,0,0,0.27969355472867,0,0,0,0.9999999841953469,0.27893286914885973
V53,0,0,0,0,0.0001,0,0,0.76954067308256,0,0,0,0.23024574298334,0,0,0,0,0,0,0,0,0,0,0,0.9999999953138166,0.2262133999391654
V54,0.091744093968716,0.12298382786554,0,0,0,0,0.10541924169333,0.20260700296591,0.085723973457028,0,0,0.10296687924228,0,0,0,0.2274764755164,0,0,0.061010349566839,0,0,0,0,0.9999999946625654,0.548169411834864
V55,0.14426157378723,0,0,0,0.1472045118681,0.042238734809742,0.16014943189971,0.17649725466883,0.16394005579812,0,0,0,0,0,0,0.16561607186428,0,0,0,0,0,0,0,0.9999999957668563,0.48622159671560494
V56,0,0.17238240014133,0,0,0,0,0.20712973487014,0,0.12179079190108,0,0,0.16851606583564,0,0,0,0.060930380691678,0,0,0.18832301394539,0,0,0.080865163343129,0,0.999999997478856,0.5351390589984479
V57,0.23735597769459,0,0,0,0,0,0,0,0,0,0.20248120001269,0.068229533960145,0,0,0.11197491469367,0,0.17585046923517,0,0.20400294274732,0,0,0,0,0.9999999965719392,0.5040517977865672
V58,0,0.26833573924627,0.089993517050019,0,0,0.14705151569672,0,0,0,0,0,0.23578380808067,0,0,0,0,0,0,0.25874779834607,0,0,0,0,0.9999999982497829,0.436415394622263
V59,0,0,0,0,0,0,0.19601053667985,0,0.55979258651435,0,0,0.24408244696485,0,0,0,0,0,0,0,0,0,0,0,0.9999999971807194,0.27422158442705424
V60,0.18862203854639,0,0,0.16324176176306,0.1793626184363,0,0,0,0.16007693347186,0,0.11584423140678,0.11773041488695,0,0,0,0,0,0,0,0,0.074988697407302,0,0,0.9999999972405746,0.40269875811488864
V61,0.12544716374112,0,0,0,0.25183636115796,0,0,0.11791024398758,0,0.23866607143225,0,0,0,0,0.10467638963112,0,0.16132032663682,0,0,0,0,0,0,0.999999995642015,0.5010624246424416
V62,0,0,0,0,0,0,0,0,0,0.32174985131084,0.22853850802241,0,0.15903589743087,0.29056934583215,0,0,0,0,0,0,0,0,0,0.9999999952064144,0.3782600250077237
