Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
V797,0.14150300353215,0.082402764631075,0.0009,0,0.15550562194666,0.13277746868482,0.11559392045153,0.088767815453409,0,0,0.10353682169136,0.11856083736164,0.041290338513323,0.0063539275299281,0.0009,0,0,0,0.0030454206942387,0.0047813120578482,0.0041033008122829,0,0,0.5663671143224199,0.8236680143986936
V798,0.021574174341221,0.19683185000348,0.0034511177607122,0,0.011615688879215,0.017251277966559,0.0003,0,0.0075558605135078,0.010048738644086,0.0075628102547692,0,0,0.0050953399238505,0.0009,0,0.0047114881534687,0,0.70552670490749,0.0067839272907699,0.0008,0,0,0.6342973335303781,0.7769316823694071
V799,0.052839505612244,0.10471369234095,0.12261267008213,0,0.003347454858744,0.01423201196901,0.060989053085153,0,0.0031759498075491,0,0.026514270486917,0,0.0061531573047705,0,0.18318248103388,0,0,0.0068887240001367,0.13160635854904,0.093204744796478,0.18872442894086,0.0017715803693517,0,0.38336045363820964,0.9327538834358269
V800,0,0.0025263922236421,0,0,0,0.022261442222878,0.33172679406861,0,0.0030814245499144,0.0072033020331439,0.2342199137044,0.0042878584940562,0,0.0013673069124575,0,0,0.0005,0,0.0088561650430356,0.38388256453881,0,0.0001,0,0.6081970160092924,0.7948114863048852
V801,0.079118759980538,0.0053273725671048,0,0.13383424151974,0,0.2047640501858,0.012113151140633,0.16477036132046,0,0,0.11802190397862,0,0,0,0,0.0097161481191795,0,0.13128708218418,0.086286030954955,0,0.044483006241974,0.010277891806821,0,0.4721994460025628,0.8808270694960707
V802,0.2924891761315,0,0.0045033648432719,0.043904769577629,0.15284338164934,0,0.32043249711844,0.015821418251943,0,0,0.0062623372823938,0,0,0.0001,0,0.0022873190923853,0.0019875209053578,0.14466700331273,0,0,0.013044479203695,0.0016075175128632,0,0.39567358254719337,0.922248052296463
V803,0.0003,0,0.0006,0.0086518303485185,0.17924667463068,0,0.010248370902368,0.23483228628606,0,0.1535157500365,0,0,0.0005,0.0055830118748427,0.0003,0,0,0.23119811227279,0.0079515139064076,0,0.16715372490382,0,0,0.5082569076878392,0.8604216256552537
V804,0,0.025731791175711,0.015926244977812,0,0.01603354492271,0,0.0010400181020185,0.38851948165079,0,0.0043796357698814,0.0068326966055216,0,0.18026722495083,0.23025459540758,0,0.1204496312506,0,0.0002,0.010232329716167,0,0,0.0001,0,0.3876144408657276,0.9260767098889187
V805,0.29948384264034,0.0055093264187657,0.001,0.0074843132467787,0.0007,0,0,0.0034586866836153,0.16715518573056,0,0.0052736236632243,0,0.010718127066852,0,0.18535464705893,0,0.30253927328847,0,0,0.0097141545297678,0.0016438890268501,0,0,0.4872423220618397,0.8732285550585165
V806,0.26482250633178,0,0.0030706956416004,0,0.0049510104221127,0.0019848438596293,0.0007,0,0.36453034976989,0,0.011200933053446,0.010190487924754,0,0.0058682999022742,0.0021131944205306,0.0033324786152452,0,0.15487923534742,0.0081075189249663,0,0.16263813092097,0.0015652339570359,0,0.5337196824275909,0.8452380200861426
V807,0.17132023856562,0.037847665883646,0.0004,0.021760094004146,0,0.07647219503501,0,0.25763363183343,0.0012377465394895,0,0.0029909362313257,0.0010940220260131,0.0010792761097159,0.11577008355936,0,0.010159310185607,0,0.011780572545103,0,0.001371631376014,0.28851986769037,0.0005,0,0.47968714196854395,0.8766918872332635
V808,0,0.0082774340636434,0,0.003101767327548,0.010291472858406,0,0,0.015481994687053,0.006552401808777,0.26511852792385,0,0.052881368248634,0.0054490308997242,0.011639582758848,0.30247406779508,0.0039069370870542,0,0.28984048650848,0.024984928032898,0,0,0,0,0.7199244270221999,0.6966886689506059
V809,0.0044316884598415,0,0.0038322997923712,0,0.0012187121281756,0.0023486358820275,0.0001,0,0.0006,0.0009,0.0022773492030675,0,0.49261641997251,0,0.0042760378313816,0.4774821273422,0,0,0.0076404963052872,0.0022602370135043,0,0,0,0.4618948014989987,0.898395182586194
V810,0.004824408931808,0,0,0,0.012610391224043,0.0024309984334815,0,0,0.0015595072482053,0.33928489378428,0.011549945904087,0.17961498648821,0,0,0,0,0,0,0.15316405271503,0.0048422744656053,0.0026455913768316,0.28747294942841,0,0.5400559813252861,0.8526187542494835
V811,0,0.069003956268935,0,0,0.21081337106687,0,0.0043166414222433,0,0.14834194023688,0.058978064741416,0.0090097592910949,0,0.08935725685994,0.21948418168283,0,0,0.0043696249642043,0,0,0.061230270700145,0.12509493276543,0,0,0.45584182245603505,0.8898379813221997
V812,0.0065134641060766,0,0.19313789886519,0.18767699818386,0,0.020792795249228,0.24496483643382,0,0.14192187856301,0.011877041664268,0.016797113329442,0,0.065831147059112,0,0,0,0.073651359168687,0.019738494107139,0,0.012985835851404,0.0041111374187708,0,0,0.3535056450927813,0.9426996843201803
V813,0.0041730206002869,0,0.0062258565025023,0,0.21564390748899,0.0075963126854322,0.126947368513,0.0001,0.22759911717423,0.12179278185481,0.0002,0.26044836316433,0.0008,0.0079958002089542,0.0009,0,0,0,0.0186550500051,0,0,0.0009,0,0.5560892356598826,0.8393498016757507
V814,0.090028536961244,0,0.1391879242664,0,0.014825753621929,0,0.22030625975264,0.0042072504585745,0.13303926724781,0.0083877722901892,0.0018528427637076,0,0.001337219731266,0.0006,0.19452444784089,0.053473973737357,0,0,0.13616245945081,0,0.0020332203853725,0,0,0.4072598730511473,0.9154839073054143
V815,0,0.0031886302294623,0.0014172670109021,0,0.016976145928742,0,0,0.0081020450683795,0,0.001841183331138,0.011010433898522,0,0.25353823734289,0.0034310925394275,0.0019769997382386,0.45678541569841,0,0.23772540916609,0,0.0022269508905251,0,0.0017801891572824,0,0.4437075612420952,0.8996644750350713
V816,0.16341381778598,0.10400871314861,0,0,0,0.1343617390259,0.048340526058286,0.12273643942821,0,0,0.025929170359603,0.11378241981219,0.027799040969975,0,0.051279797335993,0,0.11237819040406,0.001,0.002771042523293,0.092220230733913,0,0,0,0.4632487847244256,0.8854932110833201
V817,0.12201375330637,0,0,0.16724694718631,0,0.0042602577512293,0,0.0002,0.010803046077488,0,0.013781593899238,0.11173658061359,0.14238368135741,0.013261099828741,0.0001,0.16367521797274,0,0.083213443303045,0,0.1649938654867,0,0.0023762842922782,0,0.4932487281710343,0.8698661820633522
V818,0,0.010447527828299,0,0,0.10413518376915,0.034138688528876,0,0,0.0014641325597226,0,0.0049650435932183,0.23396144855642,0.27831875209256,0.0027361532104158,0.14001588610158,0,0.18054159157943,0,0,0.0089111468838308,0,0.0004,0,0.3946251247202434,0.9264010293658719
V819,0,0.0008,0.0005,0.10733144870632,0.0095086365071377,0.0006,0.19854485357337,0.011551490855058,0.1027749930213,0.0022184660463115,0.15625067017891,0,0.10936312385425,0,0.077959779261962,0,0.20765357837056,0.0038078881942463,0,0,0,0.011145215515903,0,0.3553620901353131,0.9374335574576805
V820,0.14608664778922,0.0007,0.069011236343252,0.17927838721667,0,0,0,0.0097792002070977,0,0.14029198610753,0,0.14575448226746,0.0014184169618015,0.0018397870221377,0,0.17178994067648,0,0.0020215314193641,0.12901811615842,0,0.0021246235139398,0.0008,0,0.62162151346993,0.7906971116797588
V821,0,0.28625570835005,0.0006,0.0046811552164897,0,0,0.26200856516853,0,0,0.17008782849892,0.012128577781913,0,0,0.0002,0.0004,0.23842642001298,0.0024618102308649,0,0.012688347185506,0,0.0080246839504025,0.0019424887170178,0,0.5539507979210517,0.8406398000863079
V822,0.23013050818825,0,0.0066798849775714,0,0.21708000328589,0.0004,0.024632114590773,0.17719526261367,0.13789319084244,0,0,0.002912481271506,0.0020892231825299,0.0001,0,0,0.11829817873673,0.0067257739996145,0.049037737539953,0.026833946121153,0,0,0,0.45452142100608156,0.8926155410277585
V823,0,0.017487971037703,0.0045272313180173,0.0042660995567346,0.012667129379967,0,0.29473505022382,0,0.14019665302353,0.014110763586709,0.012687995482033,0.20063431159305,0,0,0.0020768986720428,0.0036739433666715,0,0,0,0.018383193579744,0,0.27455275917999,0,0.5257377992757494,0.8525840869132422
V824,0.16905694339136,0.0043939560900475,0,0,0.2083102055926,0,0.0012429567704423,0.086907020414067,0.077511630504222,0,0.17713231053447,0,0.0004,0,0,0,0.042495548235519,0,0.18109861117395,0.0051656238777841,0,0.046278572704549,0,0.5268912188033186,0.8508656287403626
V825,0,0.12056070869305,0.16265300263722,0.11907475041048,0.16982105650551,0.14609615681872,0,0,0,0,0.015554208860733,0.004262640440381,0,0.11726889553834,0,0.071546268664774,0.010208628491255,0,0.058560831610027,0,0,0.0043928513295179,0,0.47043144591324465,0.8821484861438251
