"B cells"	"Interferon"	"Macrophages"	"Monocytes"	"Neutrophils"	"NK cells"	"Plasma cells"	"Proliferation"	"T cells"	"Translation"
"X917486"	3.13851525428475	6.4052100124193	3.58411515051225	4.31003826888439	3.58387475236982	NA	3.12810231177716	7.064237731215	3.2491472010822	9.75629725116333
"X1503362.1"	3.12526882837677	4.90737875193119	3.39673996069197	4.38872183312822	4.3857916515602	NA	2.96298877162185	7.4620605409118	3.25007720208471	9.857513633311
"X906834"	3.05635665853327	4.07391938190624	3.27826221667172	4.1338959459305	3.67383062482073	NA	2.97923247682845	7.19843840132472	3.25048738675243	10.3524351306458
"X910942"	3.17265049061579	3.91796690194173	3.30338682176986	4.21070000142444	3.29419719808439	NA	3.13231870430505	7.6408038781307	3.25080976430447	9.94476259433233
"X924240"	3.09752058359009	4.9702469987511	3.23510348321029	4.26291319687484	3.3302520752474	NA	5.21594832712086	7.23460590383908	3.25093518824301	9.5181096077578
"X1240186"	3.19418539746369	6.84042434785133	3.37717646122634	4.39586897785696	3.208763375826	NA	2.9487133006979	7.63081165123711	3.25182759750986	9.03522919822236
"X907279"	3.19331461235625	4.78097435948924	3.66554290632554	4.40103004039291	3.68387881777117	NA	3.02478699132347	7.67938321894187	3.25196120444708	9.24846105093911
"X909712"	3.13008367454997	6.11222702189819	3.65287914852763	4.24874332174457	3.43623960781987	NA	3.21059577361671	7.36019097826238	3.25201163926645	9.6264969341593
"X908122"	3.09823174896685	4.96470374906263	3.32923321130503	4.20188528550273	3.48474295761915	NA	5.03120016075396	6.35793232301521	3.25208148960832	9.81847615442667
"X1659928"	3.21047721623754	4.5886271021756	3.46890770021694	4.31387739053982	3.64658839307049	NA	3.33406197229025	7.48101748885446	3.25236963884474	10.2197961254957
"X908127"	3.26709629053067	4.85233902225019	3.33620118251835	4.48064160720633	3.4532914528408	NA	2.98234518914177	6.73635511014183	3.25238082884087	10.2032073530026
"X749710"	3.0370660618565	5.55640309196449	3.54547612616243	4.20256267458427	3.75408011331625	NA	3.09651744987969	7.90483557500466	3.25286305373892	9.94239505351445
"X1290814"	3.07511422570318	7.16093888162897	3.4684832044793	4.63887668890703	3.57428928740642	NA	2.87959470535279	6.68412932617128	3.25342406748994	9.50980651601848
"X688013"	3.22482697047518	3.76324039298381	3.1991853140147	4.09122770581251	3.43534250664925	NA	3.16356834440362	8.07156791263992	3.25344546535892	9.5877751478935
"X946382"	3.10493258488164	5.25582121379444	3.35150916278317	4.36592136723125	4.47972170122831	NA	3.3537098333184	5.73174464489837	3.25374560976451	9.81428794703759
"X1299059"	3.02136969974405	5.51921660414562	3.77414561095636	4.20320154690897	5.53322790016392	NA	3.23566918901399	7.00748985157286	3.25439454789025	10.0157158470578
"X724873"	3.13221510160053	4.78121644766939	3.95256252347433	4.33870039575567	4.70576490110515	NA	2.90578441997742	6.3628724016692	3.25451245538733	10.2686274646415
"X910853"	3.1066830838713	4.72190484445389	3.5354410436789	4.16244873413599	3.39774718190751	NA	3.11153136518564	7.81401342947266	3.25457903859572	9.7690471408721
"X907067"	3.27441218804348	4.95749543330085	3.86901698166077	4.43682750423167	3.39029870551235	NA	3.14212085976308	5.77125951942434	3.25495239899019	10.2668815702632
"X949171"	3.20560184613848	3.86416630586268	3.33491348870668	4.30033915670926	3.61276858501604	NA	3.11633755645956	5.32868909505544	3.25538309055666	10.2072023631304
"X910704"	3.0590776806506	4.42842568466115	3.3918147463245	4.42123543226659	6.13475731094929	NA	4.71594701021477	6.3233546735451	3.25585791523494	9.92414318964486
"X907071"	3.08309220510165	4.1594331832079	3.44053417309913	4.38280396836907	3.33008821638992	NA	3.21351067472933	6.42196773154244	3.25587068228355	9.94656793110925
"X907786"	3.17786710934253	5.28408198321784	3.73765868642446	4.23226448327706	5.08988496970738	NA	3.07095822290493	6.57375988899465	3.2588960782855	9.91084160719726
"X905961"	3.06601801672213	5.50161335936997	3.81566730295895	4.50135486619992	3.39443535044909	NA	3.00592237284626	5.36904350636174	3.25920131569941	9.60737849826091
"X946368"	3.2079390419423	4.99814747006919	3.64979353749679	4.2448645059552	3.5183675471699	NA	3.16197874776736	6.73061807780716	3.25945021187119	9.89104182155237
"X925338"	3.08411185187811	5.00501955921807	3.56935239352434	4.28925720893298	3.3872395307637	NA	3.42714493425202	7.11003067276938	3.25978903454655	10.0802554357844
"X907048"	3.15226767256578	6.16920543945658	3.62325668490802	4.25200791103172	6.16237605125655	NA	3.18868751772577	7.54593000300885	3.2598469418005	9.39659478559473
"X753532"	3.16832363369069	5.84126772284686	3.88969572146714	4.59530255613985	4.19758195663703	NA	3.20432376334991	5.08856312073398	3.26016705807168	9.81165022120692
"X753579"	3.17711072373257	4.79780005987155	3.45031319333752	4.31641274329939	3.3452594908861	NA	2.92016861473435	6.24376473869062	3.26061508240943	10.2317179697245
"X1290812"	3.01890460316894	4.47963947801977	3.49874087525744	4.39093427054577	3.34610001676192	NA	2.93009146044754	6.39864867451808	3.2615784999248	9.77766958696022
"X684055"	3.17950500564291	3.9519879741222	3.54713074144708	4.2326901681381	3.43253183424092	NA	3.09216352298186	6.70581999534918	3.26162014259887	10.1119007731413
"X905981"	3.05991362624416	5.28854995569508	3.62074775649963	4.52482410897817	3.29072762986135	NA	2.97941143001358	6.06420553124104	3.26168603115994	9.79255734956202
"X1330975"	3.18215046671568	4.52165108894388	3.38864662740189	4.23621775285865	3.34070145402068	NA	2.9298866453532	7.45607061404266	3.2619344554284	9.63303782824513
"X687568"	3.08226199102731	6.00462817579362	3.84958476860229	4.38365758956728	3.34332843277237	NA	3.73281606620732	7.48421845002095	3.2622023736136	9.59086521396587
"X724868"	3.04252045502948	5.39472841760422	3.50936758043698	4.20103863288528	3.31777545110815	NA	3.12471318957925	6.81496254835722	3.2624004209434	10.0499958180965
"X924100"	3.08792596470945	3.96893490234847	3.25637183694076	4.29936679862032	3.49181191359464	NA	3.30449522271052	6.68625866455338	3.26249315513279	9.94830705246066
"X908125"	3.34884063779642	4.74243030128414	3.8875488840697	4.40108131076723	3.38247252754577	NA	2.86135398503955	5.85740427513463	3.26250632406818	9.73688303428428
"X909779"	3.22931565240472	4.15140956396337	3.33034000755044	4.40116427536369	3.45760309205899	NA	3.19374103208069	7.60867890275669	3.26261426263409	9.22678628358673
"X971774"	3.26365999149347	4.21788074835279	3.50160123119262	4.22546654651474	3.66316466329168	NA	3.31903059539971	7.53722659838237	3.26305134682608	10.0492749776827
"X906851"	3.10098476127356	4.25041451068985	3.37651383036928	4.27769391532494	3.9356797770551	NA	3.14723877357568	6.14825777625063	3.26316915601287	10.3426226440952
"X1480360"	3.10783060955229	5.98921966887879	3.51002765636039	4.30917942547064	3.44618721907342	NA	3.12374521320938	7.62806804186129	3.26322344053657	9.53703203673843
"X949179"	3.27962655814417	4.23556430844474	3.37352472738708	4.19739812984627	3.56120636530471	NA	3.23464516472426	7.37209900553801	3.26325348674511	9.62026752514337
"X905945"	3.18045187987405	5.3021349221831	3.37786721466049	4.48922682028795	3.62638149729134	NA	3.19160929187248	6.4503153346643	3.26360386752889	10.2129109391356
"X909264"	3.13254786054265	5.67135233962814	3.54444941224089	4.21989165752939	3.50454027938146	NA	2.90295057259796	7.13740990212799	3.26404010960128	9.97004326128416
"X908475"	3.08253841298545	5.04042934853883	3.48652262734449	4.36361561883315	3.41911616679465	NA	3.18814690408431	7.59147246572067	3.26416071510888	9.93392231807246
"X946370"	3.17554091906377	4.73419462367898	3.5603887450848	4.4467828442015	3.49149512173048	NA	2.97127923382371	7.003888398466	3.26435631493137	9.31873817038956
"X907065"	3.03475113700801	6.29077022090932	3.31026280926236	4.42142173083967	3.55567216550942	NA	2.97181783984407	7.31927553903271	3.264365429635	9.61154911567952
"X910691"	3.33717526615918	3.83036454879185	3.35561798495457	4.03171258503234	3.79605960583526	NA	3.1661984347511	7.88802066673904	3.26594553783628	9.86505599217641
"X949176"	3.35473706380502	4.904901659278	3.29951283588445	4.34270892251694	3.30145713193006	NA	3.05705286167824	7.39263471880651	3.26717855244717	9.73225102509094
"X910948"	3.13633976929239	4.4647191799241	3.26209690619297	4.13772512526678	3.47534433743327	NA	3.13351663748849	7.44334919415493	3.26731066555537	9.55748064416224
"X1298539"	3.14148038732156	4.77902577006349	3.94848721309826	4.40540809865311	3.86740886333309	NA	3.34678397179101	7.25980727368968	3.26790322763205	9.81567497899654
"X1480371"	3.13072696795299	4.67965647014845	3.37030499046499	4.4277578399349	3.50081666329694	NA	2.98099622294378	7.46248280336834	3.26813858978736	9.77281426766266
"X906864"	3.16339225882557	6.16733240667081	3.68595830383847	4.49692037290179	3.64548259027219	NA	2.96487906169579	7.21907354391327	3.26828604832456	9.71096033410764
"X907795"	3.09539004284099	4.68968784273109	3.72252706508783	4.35288048882913	3.50033245529313	NA	3.06987821486728	6.69931332368816	3.26845226917082	10.001519028035
"X687985"	3.29116048635104	4.65815149728659	3.30411502285707	3.95710139145785	3.54933203975507	NA	3.10965003299652	7.42897756860334	3.26855059631019	10.1792602700108
"X905979"	3.09156888013673	5.19842823404501	3.70008223105763	4.38590744594591	3.29824745716793	NA	3.26818468561172	8.27265687557699	3.26939220096641	9.64628275539202
"X753549"	3.24244381718134	5.11215361331004	3.779855912826	4.42413947990412	3.62080035099302	NA	3.21269288167283	6.95149253045145	3.26941926904371	9.2364061221219
"X687815"	3.20344778966566	4.21700401688378	3.40127465262185	4.06741830039115	3.28506429338501	NA	3.26577233660964	7.66889791566421	3.26985090666721	10.0208938573181
"X688086"	3.22850054604089	3.91695127450334	3.3302112740372	4.2819811180524	3.35543679067957	NA	3.16682792799079	7.70211633569475	3.27045628545836	9.96774219295066
"X1298146"	3.09065647720428	4.35304900289468	3.57113123723172	4.38876936414357	3.60506963875331	NA	3.18001674734279	7.01633172000696	3.27052771753036	9.98608998845577
"X908121"	3.10260899660497	4.2818545523376	3.26235897193431	4.10487580940604	3.44596205143688	NA	4.08382602609976	7.55064126469771	3.27062906430358	9.66174644052314
"X907069"	3.04955126830082	8.08143728608364	3.90154089273138	4.35761418035925	3.58703206476305	NA	2.9806006897637	6.89738445558668	3.27070812261818	9.97612779941777
"X909737"	3.06824314500289	5.25002579320446	3.61978515194418	4.60339125491142	3.37802296138062	NA	3.10281590377836	7.04642224464769	3.27083486162001	9.7514986592537
"X1240123"	3.20089228562429	4.16039518074008	3.59264474928034	4.42998611174318	3.62024714571114	NA	3.36226006013139	7.63494306279074	3.27119974372479	9.86769752946168
"X753552"	2.99574057915126	5.10674673577846	3.51282460363506	4.32247286009709	4.72251452648798	NA	3.07836217457618	7.18069023097256	3.27124242260169	9.66111320012115
"X906815"	3.09377405158798	4.38547681845874	3.63225863864704	4.55088877805946	3.38391823794233	NA	3.198064511616	7.89920593643458	3.27145146280762	9.51541354767783
"X753620"	3.2938194721336	3.7554164721373	3.42963756173453	4.21565285392651	3.53610315671563	NA	3.06333193682218	7.0364349632908	3.27165593731891	10.4166503110176
"X905972"	3.06706068781214	5.37293016299475	3.57146701129792	4.43810147287028	3.45239772653176	NA	2.89068287398992	5.88495736975058	3.27187466247426	10.0189864121365
"X906823"	3.2029374062479	6.02139043024498	3.71554104493136	4.47693864309439	3.56402143344117	NA	2.99999854808231	7.47313136787537	3.27197325909511	9.04633431503363
"X687777"	3.17836105623377	6.11602647628882	3.76658490526209	4.43868213674572	4.62899441669847	NA	3.76163893492007	7.09424881464464	3.27282495117964	9.71873018639728
"X905950"	3.07737635996357	5.38978964645518	3.6716758783638	4.54913020444186	3.53048474878903	NA	3.08525406618281	5.665156014605	3.27334612947329	9.91289390882725
"X905967"	3.17623545232587	5.0692858391651	3.45242738852246	4.27598025516938	4.75679148003977	NA	3.33894439133101	6.51423733948593	3.2735060501791	9.48771324750058
"X753582"	3.29372614121697	3.88676621258832	3.20703613560704	3.99301738125611	3.42730281183777	NA	3.16883087331045	7.9018204975435	3.27421226546033	9.77089876859587
"X908461"	3.24159141190305	6.04790612052362	3.54246604565059	4.24812557976432	3.50859791662351	NA	2.87107950726108	7.20075966007698	3.27422553268131	10.1370143440972
"X906821"	3.09290210823445	5.88581698058528	4.05989280725932	4.2984999766181	3.44951897083241	NA	3.04806953999127	7.15222713907903	3.27468887517588	9.62521992512432
"X910907"	3.12476977773365	6.48169923130325	3.82563380821435	4.17010422960493	4.36996298083922	NA	3.2246857152496	7.3846242010703	3.27597608553476	9.69329582366533
"X909907"	3.20415238585678	4.19215589414852	3.38544109597693	4.20599805658112	3.57600348804803	NA	3.49992061676513	6.76452833255613	3.27637124216405	9.90669262186964
"X949156"	3.09220483758029	4.97321412393264	3.72753700534742	4.21526790810676	3.40892076099846	NA	2.97124946051729	7.15890374118929	3.27708823344458	9.7826470441752
"X753551"	3.30733238661179	4.77048360234171	3.38295326723425	4.1698871716911	3.37182447450507	NA	3.21285406515659	7.37993452033383	3.2771053186586	9.43223289752017
"X910702"	3.14354397922694	5.31094444124889	3.85710817431016	4.65069397559314	3.5641192832929	NA	3.20289827389758	4.77772444382654	3.27712514565809	9.79795379831976
"X908463"	3.29969493831863	5.06652465720731	3.64910307316136	4.4912267381916	4.67579977255428	NA	3.15650444091677	7.40661761502616	3.27746003290429	9.70017364444232
"X1303912"	3.32776532335295	4.31490937745478	3.67695681789199	4.38601785841952	3.53684046939562	NA	3.20453616812252	7.33195888501027	3.27753683645262	9.64143985350515
"X687459"	3.13746372995544	7.40177215238641	3.52430359570039	4.379249288461	4.17307215842235	NA	3.05831603191719	7.68495529824128	3.27778746916165	9.4542434547049
"X905934"	3.12109600890619	5.8610782032106	3.67192362493318	4.41184272839106	4.3733476672542	NA	3.05524784358225	7.59961980962168	3.27807126077577	9.65777591363884
"X910905"	3.23219375665516	4.32292040726796	3.71208690416078	4.39716325851835	4.03119263919435	NA	3.63298798356211	5.90495745170185	3.27957154618344	9.99121959815704
"X906862"	3.18599020645005	3.82574131234732	3.34715895687766	4.24602654992943	3.57172774466449	NA	4.18004264896708	6.51211922910418	3.27999775089579	9.98218437148439
"X11223344"	3.1133124344574	4.67024787792407	3.65105021384373	4.42448290770088	3.41633587811841	NA	2.96434818261794	6.86818974063623	3.28088245281168	9.74945050000326
"X907796"	3.05163885460568	5.41763628131355	3.73959892567557	4.53535531632971	3.73556820758181	NA	3.08342308090548	7.45959924950431	3.28158257506429	10.166741862486
"X687819"	3.20379635199699	4.95622490479293	3.29147131605076	4.35269820869962	5.08908340641877	NA	3.17541831921709	7.36857987374335	3.28234103469833	9.56531610171502
"X1287706"	3.27427863560465	4.42771663117056	4.03941444561192	4.47866758903664	3.34827186866715	NA	3.06550540541394	7.49221392878741	3.28240823485499	9.83595089388158
"X1290905"	3.09766096322061	4.80279424196059	3.31875161675236	4.32404979314543	4.24828800626331	NA	3.07482025615658	7.24936352377982	3.28259704445004	9.75031442148394
"X688023"	3.30515812102171	3.68686136176175	3.21240019220503	4.13323615246337	3.37154478173989	NA	3.18989772766999	6.56096145539784	3.28292670744712	9.83464062589552
"X1290798"	3.1662728114156	5.11736897988123	3.48763090908945	4.11083300896618	5.41757050569473	NA	3.79904674188227	7.51298170380798	3.28367954454528	9.78808253112918
"X906872"	3.1256063187242	4.50991196236916	3.4985279247934	4.57162210015179	3.60563275519197	NA	2.92227274987557	4.8968957338029	3.2837785343369	10.2283359535991
"X909778"	3.16547611805094	4.42017721701766	3.39982997627103	4.43408226049118	6.18436934713027	NA	3.19703081468694	6.78654528885574	3.28390136338522	9.31501140721638
"X909776"	3.11537328901087	4.85329543823881	3.43724672276866	4.53380100633959	3.44350132511458	NA	3.03841535830505	8.14348266372371	3.28416881959961	9.95920368788755
"X925342"	3.11638711512265	4.00517094230167	3.65342599424315	4.17406684995342	3.42839342903968	NA	2.99083182643416	7.46585326797307	3.28453087924285	10.1028260020443
"X684681"	3.16724469891458	6.91615295734147	3.50857486380236	4.23523631068773	5.0475192331888	NA	3.06549106022144	7.79133344328109	3.28456877459386	9.7707031703039
"X688058"	2.98018574074373	5.37862753259266	3.6946248913609	4.41087923474731	3.5594279174616	NA	3.16736193047332	5.84245442036406	3.28620865669239	9.87768949098847
"X1524416"	3.06054984256531	5.19198746071074	3.59633818094585	4.35401285989659	3.9590838988013	NA	3.24575707353253	7.9300859712037	3.28663845665026	9.91089788972076
"X1298526"	3.22341021644731	6.71740625876127	3.66899672327961	4.26984584212414	3.49251090189326	NA	3.03480040390695	8.14717323861654	3.28716062789122	9.98787772188695
"X687816"	2.94237861243399	5.70118514211471	3.84215842621952	4.4355229480292	4.45330401793897	NA	2.92701930105162	6.5790901024161	3.28720421649845	9.51079494533158
"X1240221"	3.21453840929688	4.39863971761263	3.77533297892516	4.12714800227253	3.44367148238455	NA	3.04982430213499	7.32608405261467	3.28743960186089	10.3525738790025
"X909759"	3.03690880825093	7.06710257667467	3.65625511979188	4.33237726119037	3.58274078930009	NA	3.11795304465462	6.88907942190605	3.28853754277867	9.6239315586866
"X906818"	3.16842448546455	4.79164301823304	3.8343628089062	4.54968817293684	3.34925561275485	NA	3.00708443125629	7.39277494617873	3.2886182242609	9.65894373260146
"X1240137"	2.99999927074355	7.0648705702173	3.47146743750253	4.47307219718644	3.54408372936666	NA	2.89834519740965	7.5509419205682	3.28861959540264	9.68291870976568
"X909756"	3.18539306396031	5.84167263955607	3.59795189690368	4.42655572163213	3.62831346196458	NA	3.10642312514711	6.54358168951306	3.28865136982083	9.78174436433637
"X687590"	3.29516223909356	5.10434609162429	4.067026962098	4.51039410555727	3.39667852079518	NA	3.23148119668044	6.18318943256871	3.28880337118109	9.55452491261044
"X949167"	3.1464133751835	4.09454856482715	3.48279396590863	4.13774797449019	3.44593585846824	NA	3.05480966108777	7.86514625861752	3.2890763141014	10.224160132522
"X1240166"	3.1662863776959	4.80150383503856	3.7659882522561	4.34749162615339	3.69188598257271	NA	3.10984899892472	4.64044050463345	3.28912311466304	10.0640873953267
"X925345"	3.05719020322999	4.46268919369835	3.23997126824945	4.19507725199226	3.22220504024992	NA	3.26007082483929	8.06923744028206	3.28943142777093	9.6326040741493
"X1297438"	3.37974981108551	3.90641412401806	3.20429144213224	4.05049898321598	3.40320576051008	NA	3.09050801125101	7.73140193437547	3.28958508793492	9.72071198607262
"X905948"	3.16729528883851	5.62309643603932	3.64191360987585	4.47143303524601	3.68094379590554	NA	2.95381297061668	6.68372916316745	3.29031455342492	9.40314809511205
"X1524417"	3.18596169342426	6.26232929428643	3.62874134923241	4.48552101782217	3.71148504424776	NA	3.01173123508087	7.06141039544792	3.29044838069185	9.81396283327891
